GSM_IDENTIFIER	TYPE_NOVEL	CLASS	TYPE
GSM329811	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330303	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330137	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330304	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330134	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329467	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329755	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329788	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329839	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329862	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330190	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330300	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330140	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330364	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329810	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329837	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329735	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330031	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329807	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329777	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330085	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329407	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330175	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329931	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329771	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329856	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330122	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329972	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330319	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329875	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330372	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330355	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330079	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330221	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329884	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329748	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330285	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330029	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330106	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329998	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329721	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330098	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329743	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330268	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330231	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330244	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330261	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329909	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330291	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329760	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330349	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330296	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330061	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330240	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330189	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329831	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330131	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329994	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329431	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330109	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329992	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330216	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329911	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330103	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329445	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329766	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330193	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330200	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330132	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM330339	Leukemia	Tumor	Acute lymphoblastic leukemia
GSM329780	Leukemia	Tumor	Acute lymphoblastic leukemia
