ROW	GSM_IDENTIFIER	TYPE	TYPE_SIMPLIFIED	
696	X5500994158987071513209_E03.cel	Myeloma	Myeloma
697	X5500994172948120113978_C09.cel	Myeloma	Myeloma
698	X5500994173212120213068_A05.cel	Myeloma	Myeloma
699	X5500994158987071513202_C06.cel	Myeloma	Myeloma
700	X5500994172383112813928_H04.cel	Myeloma	Myeloma
701	X5500994173212120213068_F02.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
702	X5500994172383112813930_A08.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
703	X5500994158987071513209_C04.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
704	X5500994172383112813930_F06.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
705	X5500994172383112813930_F08.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
706	X5500994158987071513202_D10.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
707	X5500994158987071513209_A07.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
708	X5500994172383112813930_G08.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
709	X5500994172383112813930_G06.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
710	X5500994158987071513202_D05.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
711	X5500994175999120813240_A07.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
712	X5500994157493061613625_G07.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
713	X5500994172383112813930_C07.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
714	X5500994173603120813304_C11.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
715	X5500994173212120213068_C09.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
716	X5500994158987071513202_G09.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
717	X5500994158987071513207_B12.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
718	X5500994172383112813930_E08.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
719	X5500994158987071513209_H06.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
720	X5500994175999120813240_A02.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
721	X5500994172383112813930_G07.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
722	X5500994173212120213068_H02.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
723	X5500994173212120213068_E02.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
724	X5500994173212120213068_E06.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
725	X5500994172383112813930_H06.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
726	X5500994172948120113978_H04.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
727	X5500994172383112813928_H09.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
728	X5500994158987071513207_A12.cel	Adrenal cancer - neuroblastoma	Endocrine cancer
729	X5500994172383112813929_G06.cel	Sarcoma	Sarcoma
730	X5500994172383112813928_F09.cel	Sarcoma	Sarcoma
731	X5500994158987071513202_C11.cel	Sarcoma	Sarcoma
732	X5500994173212120213068_H05.cel	Sarcoma	Sarcoma
733	X5500994158987071513207_G10.cel	Sarcoma	Sarcoma
734	X5500994173603120813304_A12.cel	Sarcoma	Sarcoma
735	X5500994158987071513201_H02.cel	Sarcoma	Sarcoma
736	X5500994158987071513207_G04.cel	Sarcoma	Sarcoma
737	X5500994175999120813240_F10.cel	Sarcoma	Sarcoma
738	X5500994158987071513209_C12.cel	Sarcoma	Sarcoma
739	X5500994172383112813929_F06.cel	Sarcoma	Sarcoma
740	X5500994158987071513209_H12.cel	Sarcoma	Sarcoma
741	X5500994172948120113978_D04.cel	Sarcoma	Sarcoma
742	X5500994172383112813928_A09.cel	Sarcoma	Sarcoma
743	X5500994172383112813928_B03.cel	Sarcoma	Sarcoma
744	X5500994173212120213068_D05.cel	Sarcoma	Sarcoma
745	X5500994175999120813240_C06.cel	Sarcoma	Sarcoma
746	X5500994158987071513201_B03.cel	Sarcoma	Sarcoma
747	X5500994175999120813240_D10.cel	Sarcoma	Sarcoma
748	X5500994158987071513201_H01.cel	Sarcoma	Sarcoma
749	X5500994172383112813930_D08.cel	Sarcoma	Sarcoma
750	X5500994172383112813929_D01.cel	Sarcoma	Sarcoma
751	X5500994158987071513209_F12.cel	Sarcoma	Sarcoma
752	X5500994172383112813929_D06.cel	Sarcoma	Sarcoma
753	X5500994158987071513201_A03.cel	Sarcoma	Sarcoma
754	X5500994172383112813929_A07.cel	Sarcoma	Sarcoma
755	X5500994158987071513209_H02.cel	Sarcoma	Sarcoma
756	X5500994157493061613625_D12.cel	Sarcoma	Sarcoma
757	X5500994157493061613625_G09.cel	Sarcoma	Sarcoma
758	X5500994158987071513209_B08.cel	Sarcoma	Sarcoma
759	X5500994157493061613625_D03.cel	Sarcoma	Sarcoma
760	X5500994173212120213068_B06.cel	Sarcoma	Sarcoma
761	X5500994157493061613625_E09.cel	Sarcoma	Sarcoma
762	X5500994158987071513202_D09.cel	Sarcoma	Sarcoma
763	X5500994173603120813304_H11.cel	Sarcoma	Sarcoma
764	X5500994172948120113978_C06.cel	Sarcoma	Sarcoma
765	X5500994158987071513207_G09.cel	Sarcoma	Sarcoma
766	X5500994173603120813304_F11.cel	Sarcoma	Sarcoma
767	X5500994172383112813929_E06.cel	Sarcoma	Sarcoma
768	X5500994172383112813929_B09.cel	Sarcoma	Sarcoma
769	X5500994157493061613625_B07.cel	Sarcoma	Sarcoma
770	X5500994158987071513209_H07.cel	Sarcoma	Sarcoma
771	X5500994158987071513202_G10.cel	Sarcoma	Sarcoma
772	X5500994158987071513207_D02.cel	Sarcoma	Sarcoma
773	X5500994172948120113978_H06.cel	Sarcoma	Sarcoma
774	X5500994158987071513209_G12.cel	Sarcoma	Sarcoma
775	X5500994175999120813240_D11.cel	Sarcoma	Sarcoma
776	X5500994172383112813928_A06.cel	Sarcoma	Sarcoma
777	X5500994172383112813929_B07.cel	Sarcoma	Sarcoma
778	X5500994172383112813929_B01.cel	Sarcoma	Sarcoma
779	X5500994172383112813928_C08.cel	Sarcoma	Sarcoma
780	X5500994173212120213068_B01.cel	Sarcoma	Sarcoma
781	X5500994172383112813928_D04.cel	Sarcoma	Sarcoma
782	X5500994172383112813930_H11.cel	Sarcoma	Sarcoma
783	X5500994172383112813928_B04.cel	Sarcoma	Sarcoma
784	X5500994158987071513209_A02.cel	Sarcoma	Sarcoma
785	X5500994172383112813928_A07.cel	Sarcoma	Sarcoma
786	X5500994158987071513209_H10.cel	Melanoma	Melanoma
787	X5500994158987071513209_D02.cel	Melanoma	Melanoma
788	X5500994158987071513209_F02.cel	Melanoma	Melanoma
789	X5500994158987071513201_F10.cel	Urogenital cancer	Urogenital cancer
790	X5500994158987071513201_B02.cel	Urogenital cancer	Urogenital cancer
791	X5500994158987071513201_E10.cel	Urogenital cancer	Urogenital cancer
792	X5500994173603120813304_H12.cel	Urogenital cancer	Urogenital cancer
793	X5500994158987071513202_B01.cel	Urogenital cancer	Urogenital cancer
794	X5500994158987071513207_D07.cel	Urogenital cancer	Urogenital cancer
795	X5500994158987071513202_F03.cel	Urogenital cancer	Urogenital cancer
796	X5500994157493061613625_E06.cel	Urogenital cancer	Urogenital cancer
797	X5500994158987071513202_F12.cel	Urogenital cancer	Urogenital cancer
798	X5500994175999120813240_A09.cel	Urogenital cancer	Urogenital cancer
799	X5500994158987071513202_A02.cel	Urogenital cancer	Urogenital cancer
800	X5500994173212120213068_B05.cel	Urogenital cancer	Urogenital cancer
801	X5500994158987071513207_B07.cel	Urogenital cancer	Urogenital cancer
802	X5500994158987071513209_B03.cel	Urogenital cancer	Urogenital cancer
803	X5500994157493061613625_H10.cel	Urogenital cancer	Urogenital cancer
804	X5500994157493061613625_C01.cel	Urogenital cancer	Urogenital cancer
805	X5500994158987071513207_A09.cel	Urogenital cancer	Urogenital cancer
806	X5500994158987071513202_F04.cel	Urogenital cancer	Urogenital cancer
807	X5500994173212120213068_C07.cel	Urogenital cancer	Urogenital cancer
808	X5500994158987071513207_A08.cel	Urogenital cancer	Urogenital cancer
809	X5500994172948120113978_E10.cel	Urogenital cancer	Urogenital cancer
810	X5500994173212120213068_H06.cel	Urogenital cancer	Urogenital cancer
811	X5500994172383112813930_D07.cel	Urogenital cancer	Urogenital cancer
812	X5500994158987071513201_C04.cel	Urogenital cancer	Urogenital cancer
813	X5500994172383112813929_E02.cel	Urogenital cancer	Urogenital cancer
814	X5500994158987071513201_F11.cel	Urogenital cancer	Urogenital cancer
815	X5500994158987071513201_A10.cel	Urogenital cancer	Urogenital cancer
816	X5500994175999120813240_H08.cel	Urogenital cancer	Urogenital cancer
817	X5500994172383112813928_D07.cel	Urogenital cancer	Urogenital cancer
818	X5500994158987071513209_F09.cel	Urogenital cancer	Urogenital cancer
819	X5500994158987071513202_C01.cel	Urogenital cancer	Urogenital cancer
820	X5500994175999120813240_F01.cel	Urogenital cancer	Urogenital cancer
821	X5500994172383112813928_F03.cel	Urogenital cancer	Urogenital cancer
822	X5500994172383112813929_C01.cel	Urogenital cancer	Urogenital cancer
823	X5500994157493061613625_F01.cel	Urogenital cancer	Urogenital cancer
824	X5500994175999120813240_D08.cel	Urogenital cancer	Urogenital cancer
825	X5500994158987071513201_C12.cel	Urogenital cancer	Urogenital cancer
826	X5500994158987071513209_B06.cel	Urogenital cancer	Urogenital cancer
827	X5500994158987071513207_G07.cel	Urogenital cancer	Urogenital cancer
828	X5500994158987071513207_A07.cel	Urogenital cancer	Urogenital cancer
829	X5500994158987071513201_D01.cel	Urogenital cancer	Urogenital cancer
830	X5500994158987071513207_B11.cel	Urogenital cancer	Urogenital cancer
831	X5500994158987071513201_H11.cel	Urogenital cancer	Urogenital cancer
832	X5500994158987071513209_E01.cel	Urogenital cancer	Urogenital cancer
833	X5500994172383112813930_D11.cel	Urogenital cancer	Urogenital cancer
834	X5500994172948120113978_B01.cel	Urogenital cancer	Urogenital cancer
835	X5500994172948120113978_G05.cel	Urogenital cancer	Urogenital cancer
836	X5500994172383112813930_D09.cel	Urogenital cancer	Urogenital cancer
837	X5500994157493061613625_G01.cel	Urogenital cancer	Urogenital cancer
838	X5500994172383112813929_E03.cel	Urogenital cancer	Urogenital cancer
839	X5500994172948120113978_E03.cel	Urogenital cancer	Urogenital cancer
840	X5500994158987071513207_F07.cel	Urogenital cancer	Urogenital cancer
841	X5500994172948120113978_G10.cel	Urogenital cancer	Urogenital cancer
842	X5500994172948120113978_A11.cel	Urogenital cancer	Urogenital cancer
843	X5500994157493061613625_B04.cel	Urogenital cancer	Urogenital cancer
844	X5500994172383112813929_H12.cel	Urogenital cancer	Urogenital cancer
845	X5500994158987071513201_B04.cel	Urogenital cancer	Urogenital cancer
846	X5500994172383112813929_H06.cel	Urogenital cancer	Urogenital cancer
847	X5500994158987071513207_H08.cel	Urogenital cancer	Urogenital cancer
848	X5500994158987071513207_E06.cel	Urogenital cancer	Urogenital cancer
849	X5500994172383112813929_F04.cel	Urogenital cancer	Urogenital cancer
850	X5500994175999120813240_D02.cel	Urogenital cancer	Urogenital cancer
851	X5500994175999120813240_E03.cel	Urogenital cancer	Urogenital cancer
852	X5500994158987071513207_E08.cel	Urogenital cancer	Urogenital cancer
853	X5500994172948120113978_D09.cel	Urogenital cancer	Urogenital cancer
854	X5500994158987071513201_B12.cel	Urogenital cancer	Urogenital cancer
855	X5500994175999120813240_E08.cel	Urogenital cancer	Urogenital cancer
856	X5500994157493061613625_F02.cel	Urogenital cancer	Urogenital cancer
857	X5500994158987071513201_D03.cel	Urogenital cancer	Urogenital cancer
858	X5500994172383112813928_D06.cel	Urogenital cancer	Urogenital cancer
859	X5500994158987071513209_E11.cel	Urogenital cancer	Urogenital cancer
860	X5500994158987071513207_E12.cel	Urogenital cancer	Urogenital cancer
861	X5500994158987071513207_E07.cel	Urogenital cancer	Urogenital cancer
862	X5500994173212120213068_E04.cel	Urogenital cancer	Urogenital cancer
863	X5500994172383112813930_C09.cel	Urogenital cancer	Urogenital cancer
864	X5500994172948120113978_D03.cel	Urogenital cancer	Urogenital cancer
865	X5500994157493061613625_F09.cel	Urogenital cancer	Urogenital cancer
866	X5500994158987071513201_H10.cel	Urogenital cancer	Urogenital cancer
867	X5500994157493061613625_B11.cel	Urogenital cancer	Urogenital cancer
868	X5500994175999120813240_C09.cel	Urogenital cancer	Urogenital cancer
869	X5500994158987071513209_D11.cel	Urogenital cancer	Urogenital cancer
870	X5500994158987071513207_H07.cel	Urogenital cancer	Urogenital cancer
871	X5500994175999120813240_B05.cel	Urogenital cancer	Urogenital cancer
872	X5500994173603120813304_E12.cel	Urogenital cancer	Urogenital cancer
873	X5500994158987071513202_D11.cel	Urogenital cancer	Urogenital cancer
874	X5500994158987071513202_E03.cel	Urogenital cancer	Urogenital cancer
875	X5500994172948120113978_C07.cel	Urogenital cancer	Urogenital cancer
876	X5500994172383112813930_H08.cel	Urogenital cancer	Urogenital cancer
877	X5500994158987071513207_A01.cel	Urogenital cancer	Urogenital cancer
878	X5500994173212120213068_A08.cel	Urogenital cancer	Urogenital cancer
879	X5500994158987071513201_G11.cel	Urogenital cancer	Urogenital cancer
880	X5500994172383112813929_C09.cel	Urogenital cancer	Urogenital cancer
881	X5500994172383112813928_F02.cel	Urogenital cancer	Urogenital cancer
882	X5500994172948120113978_E04.cel	Urogenital cancer	Urogenital cancer
883	X5500994175999120813240_F05.cel	Urogenital cancer	Urogenital cancer
884	X5500994157493061613625_H02.cel	Urogenital cancer	Urogenital cancer
885	X5500994172383112813928_H05.cel	Urogenital cancer	Urogenital cancer
886	X5500994172383112813928_A11.cel	Urogenital cancer	Urogenital cancer
887	X5500994158987071513209_D08.cel	Urogenital cancer	Urogenital cancer
888	X5500994158987071513201_A11.cel	Urogenital cancer	Urogenital cancer
889	X5500994172948120113978_C01.cel	Urogenital cancer	Urogenital cancer
890	X5500994172383112813930_A12.cel	Urogenital cancer	Urogenital cancer
891	X5500994173212120213068_D09.cel	Urogenital cancer	Urogenital cancer
892	X5500994172383112813929_G01.cel	Urogenital cancer	Urogenital cancer
893	X5500994172383112813930_E09.cel	Urogenital cancer	Urogenital cancer
894	X5500994158987071513207_F03.cel	Urogenital cancer	Urogenital cancer
895	X5500994158987071513201_G06.cel	Urogenital cancer	Urogenital cancer
896	X5500994157493061613625_B03.cel	Urogenital cancer	Urogenital cancer
897	X5500994157493061613625_F07.cel	Urogenital cancer	Urogenital cancer
898	X5500994172383112813928_B10.cel	Urogenital cancer	Urogenital cancer
899	X5500994175999120813240_F02.cel	Urogenital cancer	Urogenital cancer
900	X5500994158987071513207_B08.cel	Urogenital cancer	Urogenital cancer
901	X5500994172948120113978_H07.cel	Urogenital cancer	Urogenital cancer
902	X5500994158987071513201_A12.cel	Urogenital cancer	Urogenital cancer
903	X5500994158987071513202_A01.cel	Urogenital cancer	Urogenital cancer
904	X5500994175999120813240_F06.cel	Urogenital cancer	Urogenital cancer
905	X5500994157493061613625_F10.cel	Urogenital cancer	Urogenital cancer
906	X5500994175999120813240_A11.cel	Urogenital cancer	Urogenital cancer
907	X5500994157493061613625_C12.cel	Urogenital cancer	Urogenital cancer
908	X5500994158987071513202_G01.cel	Urogenital cancer	Urogenital cancer
909	X5500994158987071513207_C07.cel	Urogenital cancer	Urogenital cancer
910	X5500994158987071513207_D04.cel	Urogenital cancer	Urogenital cancer
911	X5500994172948120113978_H10.cel	Urogenital cancer	Urogenital cancer
912	X5500994158987071513209_G07.cel	Urogenital cancer	Urogenital cancer
913	X5500994158987071513209_E04.cel	Urogenital cancer	Urogenital cancer
914	X5500994175999120813240_E04.cel	Urogenital cancer	Urogenital cancer
915	X5500994172383112813928_C09.cel	Urogenital cancer	Urogenital cancer
916	X5500994175999120813240_H02.cel	Urogenital cancer	Urogenital cancer
917	X5500994158987071513207_D11.cel	Urogenital cancer	Urogenital cancer
918	X5500994158987071513209_H11.cel	Urogenital cancer	Urogenital cancer
919	X5500994158987071513202_H03.cel	Urogenital cancer	Urogenital cancer
920	X5500994173212120213068_E07.cel	Urogenital cancer	Urogenital cancer
921	X5500994158987071513202_B12.cel	Urogenital cancer	Urogenital cancer
922	X5500994173212120213068_A07.cel	Urogenital cancer	Urogenital cancer
923	X5500994158987071513202_D01.cel	Urogenital cancer	Urogenital cancer
924	X5500994158987071513201_H06.cel	Urogenital cancer	Urogenital cancer
925	X5500994158987071513202_F01.cel	Urogenital cancer	Urogenital cancer
926	X5500994157493061613625_B12.cel	Urogenital cancer	Urogenital cancer
927	X5500994173212120213068_C01.cel	Urogenital cancer	Urogenital cancer
928	X5500994175999120813240_E10.cel	Urogenital cancer	Urogenital cancer
929	X5500994172383112813928_F10.cel	Urogenital cancer	Urogenital cancer
930	X5500994172383112813930_B09.cel	Urogenital cancer	Urogenital cancer
931	X5500994158987071513201_D12.cel	Urogenital cancer	Urogenital cancer
932	X5500994158987071513201_C10.cel	Urogenital cancer	Urogenital cancer
933	X5500994158987071513209_D03.cel	Urogenital cancer	Urogenital cancer
934	X5500994158987071513202_C02.cel	Urogenital cancer	Urogenital cancer
935	X5500994175999120813240_B10.cel	Urogenital cancer	Urogenital cancer
936	X5500994158987071513202_H01.cel	Urogenital cancer	Urogenital cancer
937	X5500994173603120813304_E11.cel	Urogenital cancer	Urogenital cancer
938	X5500994172383112813928_D09.cel	Urogenital cancer	Urogenital cancer
939	X5500994158987071513209_E12.cel	Urogenital cancer	Urogenital cancer
940	X5500994158987071513202_F08.cel	Urogenital cancer	Urogenital cancer
941	X5500994172383112813928_E04.cel	Urogenital cancer	Urogenital cancer
942	X5500994175999120813240_F04.cel	Urogenital cancer	Urogenital cancer
943	X5500994172383112813929_B03.cel	Urogenital cancer	Urogenital cancer
944	X5500994172383112813928_G10.cel	Urogenital cancer	Urogenital cancer
945	X5500994158987071513209_E07.cel	Urogenital cancer	Urogenital cancer
946	X5500994158987071513207_F04.cel	Urogenital cancer	Urogenital cancer
947	X5500994173603120813304_F10.cel	Urogenital cancer	Urogenital cancer
948	X5500994158987071513209_D12.cel	Urogenital cancer	Urogenital cancer
949	X5500994172383112813928_G12.cel	Urogenital cancer	Urogenital cancer
950	X5500994175999120813240_A01.cel	Urogenital cancer	Urogenital cancer
951	X5500994175999120813240_G03.cel	Urogenital cancer	Urogenital cancer
952	X5500994158987071513202_A11.cel	Urogenital cancer	Urogenital cancer
953	X5500994158987071513202_C09.cel	Urogenital cancer	Urogenital cancer
954	X5500994157493061613625_G03.cel	Urogenital cancer	Urogenital cancer
