"GROUP"	"LABEL"
"225"	27	"GSM335598"
"226"	27	"GSM335648"
"227"	27	"GSM335548"
"228"	27	"GSM335596"
"229"	27	"GSM972024"
"230"	27	"GSM656631"
"231"	27	"GSM656672"
"232"	27	"GSM335561"
"233"	27	"GSM335569"
"234"	27	"GSM335594"
"235"	27	"GSM335636"
"236"	27	"GSM452200"
"237"	27	"GSM656800"
"238"	27	"GSM656639"
"239"	27	"GSM89047"
"240"	27	"GSM972254"
"241"	27	"GSM916728"
"242"	27	"GSM1519430"
"243"	27	"GSM452176"
"244"	27	"GSM929579"
"245"	27	"GSM662648"
"246"	27	"GSM972383"
"247"	27	"GSM929523"
"248"	27	"GSM972106"
"249"	27	"GSM335515"
"250"	27	"GSM662722"
"251"	27	"GSM972048"
"252"	27	"GSM929610"
"253"	27	"GSM972373"
"254"	27	"GSM929585"
"255"	27	"GSM972381"
"256"	27	"GSM452192"
"257"	27	"GSM588830"
"258"	27	"GSM656690"
"259"	27	"GSM656552"
"260"	27	"GSM656863"
"261"	27	"GSM335615"
"262"	27	"GSM929557"
"263"	27	"GSM972053"
"264"	27	"GSM656710"
"265"	27	"GSM656775"
"266"	27	"GSM710834"
"267"	27	"GSM656551"
"268"	27	"GSM656853"
"269"	27	"GSM335604"
"270"	27	"GSM335606"
"271"	27	"GSM929515"
"272"	27	"GSM972126"
"273"	27	"GSM656782"
"274"	27	"GSM1275093"
"275"	27	"GSM237964"
"276"	27	"GSM237919"
"277"	27	"GSM237922"
"278"	27	"GSM358365"
"279"	27	"GSM358567"
"280"	27	"GSM237918"
"281"	27	"GSM656798"
"282"	27	"GSM656816"
"283"	27	"GSM237959"
"284"	27	"GSM523368"
"285"	27	"GSM656856"
"286"	27	"GSM656543"
"287"	27	"GSM656872"
"288"	27	"GSM656693"
"289"	27	"GSM656802"
"290"	27	"GSM929518"
"291"	27	"GSM972098"
"292"	27	"GSM972183"
"293"	27	"GSM972502"
"294"	27	"GSM335611"
"295"	27	"GSM76526"
"296"	27	"GSM929597"
"297"	27	"GSM972379"
"298"	27	"GSM929577"
"299"	27	"GSM972111"
"300"	27	"GSM335581"
"301"	27	"GSM929522"
"302"	27	"GSM972121"
"303"	27	"GSM656862"
"304"	27	"GSM656865"
"305"	27	"GSM656871"
"306"	27	"GSM656726"
"307"	27	"GSM656838"
"308"	27	"GSM656657"
"309"	27	"GSM76555"
"310"	27	"GSM88945"
"311"	27	"GSM89037"
"312"	27	"GSM335626"
"313"	27	"GSM335572"
"314"	27	"GSM335607"
"315"	27	"GSM335579"
"316"	27	"GSM335624"
"317"	27	"GSM335550"
"318"	27	"GSM335567"
"319"	27	"GSM972516"
"320"	27	"GSM656846"
"321"	27	"GSM335605"
"322"	27	"GSM335595"
"323"	27	"GSM335625"
"324"	27	"GSM335593"
"325"	27	"GSM335602"
"326"	27	"GSM656555"
"327"	27	"GSM638945"
"328"	27	"GSM335590"
"329"	27	"GSM76501"
"330"	27	"GSM955495"
"331"	27	"GSM335587"
"332"	27	"GSM656855"
"333"	27	"GSM203667"
"334"	27	"GSM972191"
"335"	27	"GSM972446"
"336"	27	"GSM929527"
"337"	27	"GSM972100"
"338"	27	"GSM929568"
"339"	27	"GSM972034"
"340"	27	"GSM929571"
"341"	27	"GSM972036"
"342"	27	"GSM335573"
"343"	27	"GSM656557"
"344"	27	"GSM656642"
"345"	27	"GSM452583"
"346"	27	"GSM452557"
"347"	27	"GSM452564"
"348"	27	"GSM750880"
"349"	27	"GSM452570"
"350"	27	"GSM452596"
"351"	27	"GSM452563"
"352"	27	"GSM335510"
"353"	27	"GSM929618"
"354"	27	"GSM972118"
"355"	27	"GSM231961"
"356"	27	"GSM656848"
"357"	27	"GSM972263"
"358"	27	"GSM972291"
"359"	27	"GSM588844"
"360"	27	"GSM820116"
"361"	27	"GSM231970"
"362"	27	"GSM46924"
"363"	27	"GSM335570"
"364"	27	"GSM638952"
"365"	27	"GSM638943"
