"IMMUNE_CELLTYPE"	"TC"	"Correlation"	"PValue"	"ABSCOR"
"1"	"Monocytes"	"V1002"	-0.812998877	0	0.812998877
"2"	"T.cells.CD8"	"V1108"	0.718	0	0.717986854
"3"	"T.cells.CD4.naive"	"V146"	0.667	0	0.667389116
"4"	"Macrophages.M1"	"V148"	0.665783832	0	0.665783832
"5"	"Macrophages.M1"	"V1108"	0.597264207	0	0.597264207
"6"	"Macrophages.M2"	"V143"	0.591840646	0	0.591840646
"7"	"Macrophages.M1"	"V455"	0.551009704	0	0.551009704
"8"	"B.cells.naive"	"V131"	-0.54903635	0	0.54903635
"9"	"Macrophages.M2"	"V360"	-0.53084014	0	0.53084014
"10"	"T.cells.CD8"	"V131"	-0.52	0	0.520253421
"11"	"Macrophages.M1"	"V1061"	-0.516387771	0	0.516387771
"12"	"B.cells.memory"	"V131"	-0.512	0	0.512473471
"13"	"T.cells.CD8"	"V455"	0.509	0	0.508951857
"14"	"T.cells.regulatory..Tregs."	"V1108"	0.508	0	0.508079456
"15"	"T.cells.follicular.helper"	"V1108"	0.501	0	0.501181357
"16"	"T.cells.follicular.helper"	"V131"	-0.495	0	0.495458967
"17"	"T.cells.regulatory..Tregs."	"V131"	-0.494	0	0.494349909
"18"	"Macrophages.M2"	"V738"	0.484829433	0	0.484829433
"19"	"Monocytes"	"V458"	0.483007642	0	0.483007642
"20"	"T.cells.follicular.helper"	"V146"	0.449	0	0.449485313
"21"	"Dendritic.cells.resting"	"V146"	0.447505183	0	0.447505183
"22"	"Macrophages.M2"	"V1108"	0.443284454	0	0.443284454
"23"	"Macrophages.M1"	"V357"	0.43604173	0	0.43604173
"24"	"NK.cells.resting"	"V671"	0.426	0	0.425959635
"25"	"Macrophages.M2"	"V1061"	-0.423749676	0	0.423749676
"26"	"T.cells.regulatory..Tregs."	"V455"	0.423	0	0.423188797
"27"	"T.cells.CD8"	"V671"	0.418	0	0.417814699
"28"	"Macrophages.M0"	"V1061"	-0.41527337	0	0.41527337
"29"	"T.cells.CD4.memory.activated"	"V1108"	0.41	0	0.40954637
"30"	"NK.cells.resting"	"V1108"	0.396	0	0.396329405
"31"	"B.cells.memory"	"V464"	0.396	0	0.396200037
"32"	"Mast.cells.activated"	"V670"	0.391402332	0	0.391402332
"33"	"NK.cells.resting"	"V148"	0.39	0	0.390058542
"34"	"T.cells.CD4.memory.activated"	"V148"	0.387	0	0.387205
"35"	"T.cells.CD8"	"V146"	0.383	0	0.383252428
"36"	"T.cells.CD4.memory.resting"	"V1108"	0.377	0	0.377245459
"37"	"Eosinophils"	"V1117"	0.376891363	0	0.376891363
"38"	"T.cells.CD4.memory.resting"	"V1061"	-0.377	0	0.376577663
"39"	"T.cells.CD4.memory.activated"	"V671"	0.372	0	0.371574131
"40"	"T.cells.CD4.memory.resting"	"V131"	-0.366	0	0.365779594
"41"	"Macrophages.M1"	"V671"	0.36349441	0	0.36349441
"42"	"Macrophages.M2"	"V455"	0.361782685	0	0.361782685
"43"	"B.cells.naive"	"V1108"	0.358326958	0	0.358326958
"44"	"T.cells.follicular.helper"	"V148"	0.347	3.6e-303	0.346722862
"45"	"T.cells.follicular.helper"	"V455"	0.346	1.26e-302	0.346429096
"46"	"Macrophages.M1"	"V131"	-0.339806897	1.6e-290	0.339806897
"47"	"NK.cells.resting"	"V131"	-0.338	1.93e-286	0.337536931
"48"	"T.cells.regulatory..Tregs."	"V1061"	-0.338	1.94e-286	0.337536356
"49"	"T.cells.regulatory..Tregs."	"V671"	0.337	6.4e-285	0.336686902
"50"	"Monocytes"	"V1117"	0.330955123	8.47e-275	0.330955123
"51"	"T.cells.CD8"	"V148"	0.328	3.3e-269	0.327735648
"52"	"T.cells.CD4.memory.activated"	"V1061"	-0.322	5.22e-259	0.321758803
"53"	"T.cells.follicular.helper"	"V1373"	-0.321	4.8e-257	0.320592419
"54"	"Macrophages.M2"	"V1116"	-0.319971634	5.28e-256	0.319971634
"55"	"B.cells.naive"	"V1119"	-0.314381582	9.76e-247	0.314381582
"56"	"NK.cells.resting"	"V1061"	-0.311	2.21e-241	0.311095247
"57"	"Eosinophils"	"V458"	0.310187758	6.48e-240	0.310187758
"58"	"T.cells.CD8"	"V1061"	-0.31	6.6e-240	0.310182828
"59"	"T.cells.follicular.helper"	"V671"	0.307	1.78e-235	0.307421957
"60"	"NK.cells.resting"	"V455"	0.307	3.04e-234	0.306648203
"61"	"Macrophages.M2"	"V1002"	-0.306057029	2.64e-233	0.306057029
"62"	"B.cells.naive"	"V464"	0.298105879	7.05e-221	0.298105879
"63"	"Eosinophils"	"V1002"	-0.29808916	7.48e-221	0.29808916
"64"	"B.cells.naive"	"V1061"	-0.297777727	2.25e-220	0.297777727
"65"	"T.cells.follicular.helper"	"V756"	0.298	4.56e-220	0.297578428
"66"	"Macrophages.M2"	"V593"	0.29689809	5.03e-219	0.29689809
"67"	"Monocytes"	"V360"	-0.290903487	5.86e-210	0.290903487
"68"	"T.cells.CD4.memory.resting"	"V455"	0.29	1.21e-208	0.290021534
"69"	"T.cells.follicular.helper"	"V1061"	-0.286	6.13e-203	0.2861599
"70"	"T.cells.regulatory..Tregs."	"V1373"	-0.285	6.98e-201	0.284752503
"71"	"Macrophages.M2"	"V131"	-0.280514889	9.21e-195	0.280514889
"72"	"Macrophages.M1"	"V756"	0.279019378	1.26e-192	0.279019378
"73"	"NK.cells.activated"	"V671"	0.279002927	1.32e-192	0.279002927
"74"	"T.cells.regulatory..Tregs."	"V148"	0.277	4.92e-190	0.277189371
"75"	"T.cells.CD4.naive"	"V131"	-0.275	7.55e-187	0.274922233
"76"	"Macrophages.M2"	"V148"	0.270130911	3.24e-180	0.270130911
"77"	"T.cells.follicular.helper"	"V898"	0.269	3.56e-178	0.268637092
"78"	"Eosinophils"	"V747"	0.268334447	9.18e-178	0.268334447
"79"	"T.cells.CD8"	"V143"	0.268	2.93e-177	0.26796363
"80"	"Macrophages.M1"	"V898"	0.264528172	1.25e-172	0.264528172
"81"	"Monocytes"	"V747"	0.263839405	1.04e-171	0.263839405
"82"	"Mast.cells.resting"	"V1275"	0.262524387	5.82e-170	0.262524387
"83"	"Macrophages.M0"	"V756"	0.260327712	4.61e-167	0.260327712
"84"	"Macrophages.M0"	"V738"	0.25927017	1.12e-165	0.25927017
"85"	"Macrophages.M1"	"V143"	0.256163986	1.21e-161	0.256163986
"86"	"Monocytes"	"V131"	-0.256103015	1.45e-161	0.256103015
"87"	"T.cells.CD4.memory.resting"	"V360"	-0.254	1.71e-159	0.254489981
"88"	"T.cells.CD8"	"V360"	-0.254	4.51e-159	0.254160419
"89"	"T.cells.CD8"	"V738"	0.251	1.42e-155	0.251406607
"90"	"NK.cells.resting"	"V756"	0.249	5.56e-152	0.248540984
"91"	"T.cells.CD4.memory.resting"	"V148"	0.248	6.67e-151	0.247673005
"92"	"B.cells.memory"	"V1108"	0.243	2.01e-145	0.243213176
"93"	"T.cells.CD4.memory.activated"	"V455"	0.241	9.51e-143	0.241002067
"94"	"T.cells.CD4.memory.resting"	"V357"	0.241	2.92e-142	0.240597394
"95"	"NK.cells.resting"	"V1002"	-0.24	5.13e-142	0.240392824
"96"	"Macrophages.M0"	"V1116"	-0.237691349	8.55e-139	0.237691349
"97"	"Dendritic.cells.activated"	"V357"	0.237218885	3.1e-138	0.237218885
"98"	"Macrophages.M1"	"V360"	-0.23700081	5.61e-138	0.23700081
"99"	"Monocytes"	"V567"	0.235831129	1.34e-136	0.235831129
"100"	"T.cells.regulatory..Tregs."	"V146"	0.235	4.81e-135	0.234503034
"101"	"Macrophages.M0"	"V163"	-0.233613592	5.23e-134	0.233613592
"102"	"NK.cells.resting"	"V357"	0.231	3.67e-131	0.23115049
"103"	"T.cells.gamma.delta"	"V1108"	0.231	1.3e-130	0.230673049
"104"	"NK.cells.resting"	"V898"	0.228	2.28e-127	0.227821598
"105"	"Dendritic.cells.activated"	"V148"	0.22668107	4.41e-126	0.22668107
"106"	"T.cells.CD8"	"V1373"	-0.225	2.22e-124	0.225161532
"107"	"Dendritic.cells.activated"	"V788"	-0.224376032	1.67e-123	0.224376032
"108"	"T.cells.CD4.memory.resting"	"V1275"	0.224	4.67e-123	0.223972763
"109"	"Mast.cells.resting"	"V1002"	-0.221804865	1.15e-120	0.221804865
"110"	"Neutrophils"	"V670"	0.221482616	2.6e-120	0.221482616
"111"	"Mast.cells.resting"	"V1108"	0.219628683	2.74e-118	0.219628683
"112"	"T.cells.CD4.memory.activated"	"V756"	0.219	5.58e-118	0.219343698
"113"	"Dendritic.cells.activated"	"V786"	0.218975513	1.4e-117	0.218975513
"114"	"Macrophages.M1"	"V1303"	-0.218163299	1.05e-116	0.218163299
"115"	"Macrophages.M2"	"V394"	-0.217224192	1.08e-115	0.217224192
"116"	"B.cells.memory"	"V1061"	-0.217	2.37e-115	0.216905958
"117"	"T.cells.CD4.memory.activated"	"V131"	-0.217	3.68e-115	0.216727033
"118"	"Mast.cells.resting"	"V360"	-0.216525542	6.04e-115	0.216525542
"119"	"Macrophages.M0"	"V1108"	0.214445054	9.85e-113	0.214445054
"120"	"Mast.cells.resting"	"V738"	0.214354669	1.23e-112	0.214354669
"121"	"NK.cells.activated"	"V455"	0.214	7.48e-112	0.213610737
"122"	"Macrophages.M0"	"V148"	0.212856809	4.64e-111	0.212856809
"123"	"Mast.cells.resting"	"V1061"	-0.211541897	1.1e-109	0.211541897
"124"	"T.cells.follicular.helper"	"V895"	-0.209	5.66e-107	0.208922553
"125"	"T.cells.follicular.helper"	"V357"	0.208	2.29e-106	0.20833141
"126"	"Macrophages.M0"	"V898"	0.205053074	4.91e-103	0.205053074
"127"	"Macrophages.M0"	"V1303"	-0.20496244	6.06e-103	0.20496244
"128"	"T.cells.CD4.memory.resting"	"V1002"	-0.204	1.26e-101	0.203648048
"129"	"Macrophages.M2"	"V357"	0.203328851	2.63e-101	0.203328851
"130"	"Macrophages.M1"	"V738"	0.202789576	9.09e-101	0.202789576
"131"	"Macrophages.M0"	"V394"	-0.202150679	3.92e-100	0.202150679
"132"	"T.cells.CD4.memory.resting"	"V888"	-0.2	8.39e-98	0.199786488
"133"	"Macrophages.M2"	"V1275"	0.1994606	1.75e-97	0.1994606
"134"	"T.cells.regulatory..Tregs."	"V357"	0.199	2.78e-97	0.199255042
"135"	"Mast.cells.resting"	"V143"	0.19702308	4.08e-95	0.19702308
"136"	"Macrophages.M0"	"V252"	-0.195252699	2.05e-93	0.195252699
"137"	"Macrophages.M0"	"V366"	0.194459775	1.17e-92	0.194459775
"138"	"T.cells.CD4.memory.resting"	"V601"	0.194	2.99e-92	0.194029642
"139"	"NK.cells.activated"	"V1373"	-0.192259062	1.41e-90	0.192259062
"140"	"T.cells.regulatory..Tregs."	"V738"	0.192	2.11e-90	0.192070742
"141"	"T.cells.CD4.memory.activated"	"V898"	0.192	2.15e-90	0.192063119
"142"	"Dendritic.cells.resting"	"V131"	-0.191228317	1.3e-89	0.191228317
"143"	"NK.cells.resting"	"V1233"	-0.191	2.47e-89	0.190930409
"144"	"Mast.cells.resting"	"V1117"	0.190653008	4.48e-89	0.190653008
"145"	"T.cells.regulatory..Tregs."	"V756"	0.189	1.88e-87	0.188900546
"146"	"T.cells.regulatory..Tregs."	"V895"	-0.188	1.29e-86	0.187993284
"147"	"T.cells.regulatory..Tregs."	"V1116"	-0.187	4.83e-86	0.187366475
"148"	"Macrophages.M0"	"V1233"	-0.187107375	8.33e-86	0.187107375
"149"	"Eosinophils"	"V2"	-0.18584197	1.18e-84	0.18584197
"150"	"T.cells.CD4.memory.resting"	"V143"	0.185	4.92e-84	0.185156675
"151"	"Macrophages.M0"	"V131"	-0.183594573	1.25e-82	0.183594573
"152"	"Macrophages.M0"	"V895"	-0.183403327	1.85e-82	0.183403327
"153"	"NK.cells.resting"	"V163"	-0.183	2.07e-82	0.183348225
"154"	"Macrophages.M1"	"V1373"	-0.18324222	2.58e-82	0.18324222
"155"	"T.cells.regulatory..Tregs."	"V143"	0.182	7.71e-81	0.181581053
"156"	"Macrophages.M0"	"V1119"	-0.181170478	1.78e-80	0.181170478
"157"	"Macrophages.M1"	"V895"	-0.181066854	2.19e-80	0.181066854
"158"	"T.cells.CD8"	"V464"	0.181	2.25e-80	0.181054384
"159"	"Monocytes"	"V738"	0.180908406	3.03e-80	0.180908406
"160"	"T.cells.CD4.memory.activated"	"V1303"	-0.18	9.87e-80	0.180324564
"161"	"Macrophages.M0"	"V1373"	-0.178849494	1.92e-78	0.178849494
"162"	"Monocytes"	"V1108"	0.177737174	1.77e-77	0.177737174
"163"	"T.cells.CD4.memory.resting"	"V466"	-0.177	1.43e-76	0.176683899
"164"	"T.cells.follicular.helper"	"V215"	0.176	2.14e-76	0.17647976
"165"	"Dendritic.cells.activated"	"V286"	0.176191495	3.79e-76	0.176191495
"166"	"T.cells.CD4.memory.resting"	"V738"	0.174	2.65e-74	0.174022674
"167"	"T.cells.CD4.memory.resting"	"V671"	0.173	1.73e-73	0.173058107
"168"	"Eosinophils"	"V567"	0.17255597	4.55e-73	0.17255597
"169"	"Mast.cells.resting"	"V131"	-0.172403198	6.11e-73	0.172403198
"170"	"T.cells.CD4.memory.activated"	"V163"	-0.172	6.58e-73	0.172364514
"171"	"Mast.cells.resting"	"V888"	-0.172209525	8.87e-73	0.172209525
"172"	"T.cells.follicular.helper"	"V295"	0.172	1.61e-72	0.171899945
"173"	"Monocytes"	"V1064"	0.171531994	3.26e-72	0.171531994
"174"	"T.cells.follicular.helper"	"V754"	0.17	2.36e-71	0.170495394
"175"	"T.cells.follicular.helper"	"V1303"	-0.17	3.24e-71	0.170329662
"176"	"T.cells.regulatory..Tregs."	"V366"	0.17	8.31e-71	0.169834347
"177"	"T.cells.gamma.delta"	"V1313"	-0.169	3.22e-70	0.169118406
"178"	"Eosinophils"	"V522"	0.168267464	1.6e-69	0.168267464
"179"	"Macrophages.M1"	"V1002"	-0.166494691	4.39e-68	0.166494691
"180"	"T.cells.CD4.memory.resting"	"V486"	-0.164	3.63e-66	0.164101183
"181"	"Macrophages.M1"	"V163"	-0.1633113	1.53e-65	0.1633113
"182"	"Mast.cells.resting"	"V455"	0.163016262	2.62e-65	0.163016262
"183"	"Neutrophils"	"V1002"	-0.162171085	1.21e-64	0.162171085
"184"	"Macrophages.M2"	"V825"	0.161822602	2.28e-64	0.161822602
"185"	"Dendritic.cells.activated"	"V756"	0.161751017	2.59e-64	0.161751017
"186"	"B.cells.naive"	"V1275"	0.16	7.83e-63	0.159848021
"187"	"Macrophages.M2"	"V926"	-0.159496325	1.46e-62	0.159496325
"188"	"T.cells.CD4.memory.activated"	"V357"	0.158	1.87e-61	0.158054361
"189"	"Macrophages.M1"	"V486"	-0.157560471	4.46e-61	0.157560471
"190"	"T.cells.follicular.helper"	"V486"	-0.157	7.05e-61	0.15729884
"191"	"Monocytes"	"V2"	-0.157277745	7.32e-61	0.157277745
"192"	"T.cells.follicular.helper"	"V169"	-0.157	1.98e-60	0.156706815
"193"	"Dendritic.cells.activated"	"V960"	0.156168318	5.06e-60	0.156168318
"194"	"NK.cells.resting"	"V458"	0.156	9e-60	0.155836886
"195"	"T.cells.CD8"	"V1002"	-0.155	1.81e-59	0.155434759
"196"	"T.cells.follicular.helper"	"V1326"	0.154	1.17e-58	0.15435222
"197"	"T.cells.regulatory..Tregs."	"V1205"	0.154	2.27e-58	0.153964812
"198"	"T.cells.regulatory..Tregs."	"V360"	-0.153	6.02e-58	0.153392922
"199"	"Mast.cells.resting"	"V2"	-0.15333783	6.61e-58	0.15333783
"200"	"NK.cells.resting"	"V895"	-0.153	1.04e-57	0.153072163
"201"	"T.cells.CD4.memory.resting"	"V1233"	-0.153	1.07e-57	0.153054723
"202"	"Monocytes"	"V1061"	-0.152880158	1.44e-57	0.152880158
"203"	"Dendritic.cells.activated"	"V647"	-0.152576611	2.41e-57	0.152576611
"204"	"T.cells.regulatory..Tregs."	"V486"	-0.152	2.87e-57	0.15247378
"205"	"Mast.cells.resting"	"V458"	0.152095801	5.44e-57	0.152095801
"206"	"T.cells.regulatory..Tregs."	"V1164"	0.152	6.02e-57	0.152036461
"207"	"T.cells.regulatory..Tregs."	"V426"	-0.152	7.73e-57	0.151888184
"208"	"Mast.cells.resting"	"V357"	0.151713969	1.04e-56	0.151713969
"209"	"T.cells.regulatory..Tregs."	"V898"	0.152	1.31e-56	0.151577104
"210"	"NK.cells.resting"	"V366"	0.151	1.85e-56	0.151370479
"211"	"Macrophages.M0"	"V754"	0.151121073	2.81e-56	0.151121073
"212"	"Eosinophils"	"V1064"	0.150958311	3.7e-56	0.150958311
"213"	"Mast.cells.activated"	"V523"	0.150629452	6.41e-56	0.150629452
"214"	"NK.cells.resting"	"V670"	0.15	8.05e-56	0.150493534
"215"	"T.cells.CD8"	"V357"	0.15	1.08e-55	0.15031761
"216"	"Dendritic.cells.activated"	"V789"	-0.150227313	1.26e-55	0.150227313
"217"	"NK.cells.resting"	"V1373"	-0.15	1.59e-55	0.150087627
"218"	"T.cells.follicular.helper"	"V252"	-0.15	2.53e-55	0.149806712
"219"	"T.cells.CD4.memory.resting"	"V833"	-0.15	2.74e-55	0.149758242
"220"	"Macrophages.M0"	"V668"	-0.149368939	5.24e-55	0.149368939
"221"	"T.cells.follicular.helper"	"V1164"	0.149	6.46e-55	0.14924275
"222"	"T.cells.follicular.helper"	"V923"	0.149	7.16e-55	0.14917999
"223"	"Macrophages.M0"	"V286"	0.148676093	1.65e-54	0.148676093
"224"	"T.cells.CD4.memory.resting"	"V926"	-0.148	7.91e-54	0.147723223
"225"	"T.cells.regulatory..Tregs."	"V487"	-0.148	8e-54	0.147716169
"226"	"T.cells.CD4.memory.resting"	"V1043"	-0.147	4.68e-53	0.146634863
"227"	"Mast.cells.resting"	"V522"	0.146324665	7.75e-53	0.146324665
"228"	"Dendritic.cells.activated"	"V670"	0.146263387	8.56e-53	0.146263387
"229"	"Mast.cells.activated"	"V163"	-0.146226368	9.09e-53	0.146226368
"230"	"Macrophages.M2"	"V1204"	-0.146102343	1.11e-52	0.146102343
"231"	"Monocytes"	"V143"	0.145670376	2.24e-52	0.145670376
"232"	"T.cells.regulatory..Tregs."	"V464"	0.146	2.89e-52	0.145512819
"233"	"T.cells.CD4.memory.resting"	"V1204"	-0.145	6.48e-52	0.145011248
"234"	"T.cells.follicular.helper"	"V1233"	-0.145	8.38e-52	0.144850853
"235"	"T.cells.CD8"	"V659"	0.145	9.18e-52	0.144794186
"236"	"NK.cells.resting"	"V1303"	-0.144	3.42e-51	0.14397368
"237"	"T.cells.CD4.memory.resting"	"V523"	0.144	3.77e-51	0.143911343
"238"	"T.cells.CD4.naive"	"V1064"	0.144	3.98e-51	0.143878335
"239"	"NK.cells.activated"	"V148"	0.144	4.07e-51	0.143863566
"240"	"NK.cells.resting"	"V360"	-0.143	1.31e-50	0.143130177
"241"	"Macrophages.M2"	"V467"	0.142978071	1.67e-50	0.142978071
"242"	"B.cells.memory"	"V455"	0.143	1.8e-50	0.142930249
"243"	"T.cells.regulatory..Tregs."	"V1233"	-0.143	2.21e-50	0.142799641
"244"	"T.cells.CD4.memory.resting"	"V1185"	0.142	4.89e-50	0.142296492
"245"	"T.cells.CD4.memory.resting"	"V394"	-0.142	6.89e-50	0.142079195
"246"	"Macrophages.M1"	"V949"	0.142047851	7.24e-50	0.142047851
"247"	"T.cells.CD4.memory.activated"	"V1373"	-0.142	1.02e-49	0.141831243
"248"	"T.cells.follicular.helper"	"V1185"	0.142	1.03e-49	0.141825112
"249"	"Mast.cells.activated"	"V786"	0.141817645	1.04e-49	0.141817645
"250"	"Monocytes"	"V522"	0.141389717	2.04e-49	0.141389717
"251"	"T.cells.follicular.helper"	"V366"	0.141	2.23e-49	0.141332479
"252"	"T.cells.follicular.helper"	"V163"	-0.141	2.67e-49	0.141217412
"253"	"T.cells.regulatory..Tregs."	"V1303"	-0.141	2.69e-49	0.141212096
"254"	"Dendritic.cells.activated"	"V898"	0.141062367	3.4e-49	0.141062367
"255"	"T.cells.regulatory..Tregs."	"V240"	0.141	3.62e-49	0.141022197
"256"	"Macrophages.M2"	"V888"	-0.140922834	4.23e-49	0.140922834
"257"	"T.cells.follicular.helper"	"V1043"	-0.141	6.89e-49	0.140610464
"258"	"T.cells.regulatory..Tregs."	"V1119"	-0.14	9.34e-49	0.1404146
"259"	"Macrophages.M0"	"V486"	-0.140405822	9.47e-49	0.140405822
"260"	"Macrophages.M0"	"V670"	0.140131169	1.45e-48	0.140131169
"261"	"T.cells.CD4.memory.resting"	"V82"	0.14	3.77e-48	0.139514745
"262"	"Monocytes"	"V146"	0.139318737	5.11e-48	0.139318737
"263"	"T.cells.follicular.helper"	"V609"	-0.139	1.06e-47	0.138843059
"264"	"Macrophages.M0"	"V220"	0.138670473	1.39e-47	0.138670473
"265"	"NK.cells.resting"	"V949"	0.138	2.04e-47	0.138418009
"266"	"Macrophages.M2"	"V671"	0.13810806	3.28e-47	0.13810806
"267"	"T.cells.CD4.naive"	"V986"	-0.138	4.12e-47	0.137958558
"268"	"T.cells.follicular.helper"	"V373"	-0.138	6.11e-47	0.137700589
"269"	"Mast.cells.resting"	"V163"	0.137610384	7.02e-47	0.137610384
"270"	"T.cells.CD4.memory.resting"	"V896"	0.138	7.72e-47	0.137547885
"271"	"Macrophages.M0"	"V1069"	-0.137325739	1.08e-46	0.137325739
"272"	"Mast.cells.activated"	"V1032"	0.137095789	1.53e-46	0.137095789
"273"	"Dendritic.cells.activated"	"V881"	-0.137012715	1.74e-46	0.137012715
"274"	"Macrophages.M1"	"V960"	0.13690028	2.06e-46	0.13690028
"275"	"NK.cells.resting"	"V487"	-0.137	2.49e-46	0.136777393
"276"	"Macrophages.M0"	"V1224"	-0.136582214	3.34e-46	0.136582214
"277"	"T.cells.CD8"	"V1303"	-0.136	5.59e-46	0.136241654
"278"	"T.cells.follicular.helper"	"V464"	0.136	6.12e-46	0.136181417
"279"	"Mast.cells.resting"	"V511"	0.136102325	6.9e-46	0.136102325
"280"	"Mast.cells.activated"	"V788"	-0.135822677	1.05e-45	0.135822677
"281"	"T.cells.follicular.helper"	"V960"	0.136	1.12e-45	0.135782184
"282"	"NK.cells.resting"	"V738"	0.135	2.17e-45	0.135340422
"283"	"T.cells.CD4.naive"	"V1373"	-0.135	6.15e-45	0.134642423
"284"	"NK.cells.resting"	"V630"	-0.134	8.82e-45	0.134400481
"285"	"Macrophages.M0"	"V295"	0.134046336	1.49e-44	0.134046336
"286"	"Macrophages.M1"	"V487"	-0.133992989	1.62e-44	0.133992989
"287"	"T.cells.gamma.delta"	"V455"	0.134	2.3e-44	0.133755892
"288"	"Macrophages.M0"	"V455"	0.1334756	3.47e-44	0.1334756
"289"	"Macrophages.M1"	"V839"	-0.133448764	3.61e-44	0.133448764
"290"	"T.cells.regulatory..Tregs."	"V839"	-0.133	7.67e-44	0.132938108
"291"	"Mast.cells.resting"	"V593"	0.132851402	8.72e-44	0.132851402
"292"	"B.cells.naive"	"V1002"	-0.132711244	1.07e-43	0.132711244
"293"	"Macrophages.M0"	"V786"	0.132469882	1.53e-43	0.132469882
"294"	"Macrophages.M1"	"V220"	0.132223833	2.19e-43	0.132223833
"295"	"T.cells.regulatory..Tregs."	"V373"	-0.132	2.42e-43	0.132156029
"296"	"T.cells.CD4.memory.resting"	"V1246"	-0.132	4.89e-43	0.131672754
"297"	"Macrophages.M2"	"V986"	0.131308124	8.31e-43	0.131308124
"298"	"Dendritic.cells.activated"	"V455"	0.131234717	9.25e-43	0.131234717
"299"	"T.cells.follicular.helper"	"V1198"	0.131	1.41e-42	0.130941795
"300"	"B.cells.naive"	"V898"	0.130439617	2.92e-42	0.130439617
"301"	"T.cells.CD4.memory.activated"	"V143"	0.13	2.93e-42	0.130438772
"302"	"T.cells.regulatory..Tregs."	"V1204"	-0.13	3.64e-42	0.130286985
"303"	"Macrophages.M1"	"V1116"	-0.130281862	3.67e-42	0.130281862
"304"	"NK.cells.activated"	"V1108"	0.130254281	3.82e-42	0.130254281
"305"	"T.cells.follicular.helper"	"V426"	-0.13	4.4e-42	0.130155566
"306"	"Macrophages.M2"	"V668"	-0.130041875	5.18e-42	0.130041875
"307"	"Macrophages.M1"	"V786"	0.129704393	8.42e-42	0.129704393
"308"	"T.cells.CD4.memory.resting"	"V758"	0.13	1.03e-41	0.129562794
"309"	"Macrophages.M0"	"V357"	0.129541849	1.06e-41	0.129541849
"310"	"T.cells.follicular.helper"	"V220"	0.129	1.35e-41	0.129373368
"311"	"B.cells.naive"	"V986"	-0.129334736	1.43e-41	0.129334736
"312"	"Macrophages.M2"	"V291"	0.129255099	1.6e-41	0.129255099
"313"	"Macrophages.M1"	"V647"	-0.129139637	1.89e-41	0.129139637
"314"	"T.cells.CD4.memory.resting"	"V964"	0.129	1.96e-41	0.12911264
"315"	"Macrophages.M0"	"V1205"	0.128841155	2.89e-41	0.128841155
"316"	"T.cells.CD4.memory.resting"	"V516"	-0.129	3.34e-41	0.128738745
"317"	"T.cells.CD4.memory.resting"	"V46"	0.129	3.79e-41	0.128651483
"318"	"Monocytes"	"V888"	-0.128544594	4.41e-41	0.128544594
"319"	"NK.cells.resting"	"V143"	0.128	4.7e-41	0.128499585
"320"	"Macrophages.M0"	"V825"	0.128455996	5e-41	0.128455996
"321"	"Macrophages.M0"	"V773"	-0.128302788	6.21e-41	0.128302788
"322"	"Macrophages.M0"	"V215"	0.128248102	6.72e-41	0.128248102
"323"	"Macrophages.M1"	"V1233"	-0.127885559	1.12e-40	0.127885559
"324"	"T.cells.regulatory..Tregs."	"V494"	-0.128	1.75e-40	0.127570446
"325"	"T.cells.CD4.memory.resting"	"V1170"	-0.127	1.97e-40	0.127486133
"326"	"NK.cells.resting"	"V788"	-0.127	4.33e-40	0.126926754
"327"	"T.cells.gamma.delta"	"V1061"	-0.126	8.47e-40	0.126447846
"328"	"Macrophages.M1"	"V758"	0.126332408	9.95e-40	0.126332408
"329"	"Dendritic.cells.activated"	"V1233"	-0.126261005	1.1e-39	0.126261005
"330"	"Monocytes"	"V511"	0.126201204	1.19e-39	0.126201204
"331"	"T.cells.regulatory..Tregs."	"V295"	0.126	1.93e-39	0.125855969
"332"	"Dendritic.cells.activated"	"V467"	0.125767785	2.18e-39	0.125767785
"333"	"T.cells.regulatory..Tregs."	"V1326"	0.126	2.72e-39	0.125610445
"334"	"T.cells.follicular.helper"	"V661"	0.125	4.88e-39	0.125188315
"335"	"T.cells.CD4.memory.resting"	"V777"	-0.125	6.56e-39	0.1249736
"336"	"T.cells.CD4.memory.resting"	"V630"	-0.125	1.02e-38	0.124656576
"337"	"T.cells.follicular.helper"	"V964"	0.125	1.17e-38	0.124553218
"338"	"T.cells.regulatory..Tregs."	"V1185"	0.124	1.32e-38	0.124465413
"339"	"Macrophages.M0"	"V487"	-0.124439459	1.37e-38	0.124439459
"340"	"NK.cells.resting"	"V786"	0.124	1.4e-38	0.124424792
"341"	"T.cells.CD4.memory.resting"	"V839"	-0.124	1.45e-38	0.124400128
"342"	"Mast.cells.resting"	"V671"	0.12424896	1.78e-38	0.12424896
"343"	"Mast.cells.resting"	"V148"	0.123954808	2.66e-38	0.123954808
"344"	"Macrophages.M2"	"V540"	-0.123878494	2.96e-38	0.123878494
"345"	"Macrophages.M0"	"V593"	0.123741067	3.57e-38	0.123741067
"346"	"NK.cells.resting"	"V1043"	-0.124	4.28e-38	0.123608454
"347"	"T.cells.follicular.helper"	"V839"	-0.123	8.79e-38	0.123080492
"348"	"T.cells.follicular.helper"	"V1205"	0.123	9.1e-38	0.123054958
"349"	"B.cells.naive"	"V888"	-0.122939683	1.06e-37	0.122939683
"350"	"NK.cells.resting"	"V1205"	0.123	1.11e-37	0.122908388
