GSM_IDENTIFIER	TYPE	TYPE_SIMPLIFIED
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A08_240864.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_D09_767866.CEL	Urogenital cancer	Urogenital cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_H10_454746.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_F10_569482.CEL	Urogenital cancer	Urogenital cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_A07_436590.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C01_240898.CEL	Urogenital cancer	Urogenital cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_H02_436488.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_D04_569578.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_F08_569484.CEL	Urogenital cancer	Urogenital cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_G04_454708.CEL	Urogenital cancer	Urogenital cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_A02_779658.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_B09_296030.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_C08_767844.CEL	Urogenital cancer	Urogenital cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_G08_419826.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B02_240876.CEL	Urogenital cancer	Urogenital cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_H11_241230.CEL	Urogenital cancer	Urogenital cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_G01_419812.CEL	Urogenital cancer	Urogenital cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_D02_257672.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_C11_296058.CEL	Urogenital cancer	Urogenital cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_H01_587734.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_F06_296120.CEL	Urogenital cancer	Urogenital cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_D11_257690.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_G02_296136.CEL	Urogenital cancer	Urogenital cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_B07_436596.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_G07_569544.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C02_240900.CEL	Urogenital cancer	Urogenital cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_D11_241134.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_C03_296042.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D12_240944.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_G10_569546.CEL	Urogenital cancer	Urogenital cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_C07_296050.CEL	Urogenital cancer	Urogenital cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_F01_698864.CEL	Urogenital cancer	Urogenital cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_H12_383740.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C10_240916.CEL	Urogenital cancer	Urogenital cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_F09_383678.CEL	Urogenital cancer	Urogenital cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_C10_436514.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C04_240904.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_B05_767792.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_C01_767952.CEL	Urogenital cancer	Urogenital cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_A05_767916.CEL	Urogenital cancer	Urogenital cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_B09_523490.CEL	Urogenital cancer	Urogenital cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_F01_436468.CEL	Urogenital cancer	Urogenital cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_B08_569552.CEL	Urogenital cancer	Urogenital cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_E11_241158.CEL	Urogenital cancer	Urogenital cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_F03_419766.CEL	Urogenital cancer	Urogenital cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_E12_241160.CEL	Urogenital cancer	Urogenital cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C07_240910.CEL	Urogenital cancer	Urogenital cancer
