GSM_IDENTIFIER	TYPE	TYPE_SIMPLIFIED
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_B06_419854.CEL	Myeloma	Myeloma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_F04_240976.CEL	Myeloma	Myeloma
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_A01_523596.CEL	Myeloma	Myeloma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_D12_474702.CEL	Myeloma	Myeloma
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_A07_587612.CEL	Myeloma	Myeloma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_A07_454770.CEL	Myeloma	Myeloma
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_E08_523520.CEL	Myeloma	Myeloma
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_C08_419728.CEL	Myeloma	Myeloma
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_C01_419710.CEL	Myeloma	Myeloma
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_F11_296130.CEL	Myeloma	Myeloma
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_H05_419830.CEL	Myeloma	Myeloma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_H11_474690.CEL	Myeloma	Myeloma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_F03_474754.CEL	Myeloma	Myeloma
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_B04_419850.CEL	Myeloma	Myeloma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_H06_474692.CEL	Myeloma	Myeloma
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_H11_419842.CEL	Myeloma	Myeloma
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_C08_523538.CEL	Myeloma	Myeloma
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_D07_698808.CEL	Myeloma	Myeloma
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_B05_419848.CEL	Myeloma	Myeloma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_H12_474618.CEL	Myeloma	Myeloma
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_C12_779702.CEL	Myeloma	Myeloma
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_G11_419824.CEL	Myeloma	Myeloma
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_A09_436608.CEL	Myeloma	Myeloma
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_G12_698744.CEL	Myeloma	Myeloma
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_G10_296152.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_G03_383634.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_B11_419860.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_C06_454620.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_F01_523554.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_A05_454774.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_A04_523474.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_D09_296078.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_G02_587654.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_B04_474582.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_C06_436538.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_D04_698920.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_H04_454728.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_F05_474682.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_G02_383638.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_F07_419790.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_D01_698752.CEL	Adrenal cancer - neuroblastoma	Endocrine cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_C04_383648.CEL	Sarcoma	Sarcoma
CASED_p_NCLE_RNA4_HG.U133_Plus_2_D05_383696.CEL	Sarcoma	Sarcoma
CASED_p_NCLE_RNA4_HG.U133_Plus_2_C12_383616.CEL	Sarcoma	Sarcoma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_H03_474762.CEL	Sarcoma	Sarcoma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_C09_474764.CEL	Sarcoma	Sarcoma
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_C04_436542.CEL	Sarcoma	Sarcoma
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_D08_767918.CEL	Sarcoma	Sarcoma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_G08_454744.CEL	Sarcoma	Sarcoma
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_E05_523510.CEL	Sarcoma	Sarcoma
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_B06_523544.CEL	Sarcoma	Sarcoma
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_A10_767880.CEL	Sarcoma	Sarcoma
CASED_p_NCLE_RNA4_HG.U133_Plus_2_B01_383784.CEL	Sarcoma	Sarcoma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_D09_474700.CEL	Sarcoma	Sarcoma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_G03_454706.CEL	Sarcoma	Sarcoma
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_C09_241106.CEL	Sarcoma	Sarcoma
CASED_p_NCLE_RNA4_HG.U133_Plus_2_D10_383716.CEL	Sarcoma	Sarcoma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_D05_454642.CEL	Sarcoma	Sarcoma
CASED_p_NCLE_RNA4_HG.U133_Plus_2_H04_383762.CEL	Sarcoma	Sarcoma
CASED_p_NCLE_RNA4_HG.U133_Plus_2_C07_383652.CEL	Sarcoma	Sarcoma
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_C11_436516.CEL	Sarcoma	Sarcoma
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_A08_436610.CEL	Sarcoma	Sarcoma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_F01_454686.CEL	Sarcoma	Sarcoma
CASED_p_NCLE_RNA4_HG.U133_Plus_2_D02_383624.CEL	Sarcoma	Sarcoma
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_B02_436622.CEL	Sarcoma	Sarcoma
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_H04_523550.CEL	Sarcoma	Sarcoma
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_B03_767938.CEL	Sarcoma	Sarcoma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_B03_474710.CEL	Sarcoma	Sarcoma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_F09_454702.CEL	Sarcoma	Sarcoma
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_B02_779634.CEL	Sarcoma	Sarcoma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_D08_474656.CEL	Sarcoma	Sarcoma
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_G06_296144.CEL	Sarcoma	Sarcoma
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_G02_436512.CEL	Sarcoma	Sarcoma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_H11_454752.CEL	Sarcoma	Sarcoma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_B10_474642.CEL	Sarcoma	Sarcoma
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_D08_436576.CEL	Sarcoma	Sarcoma
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_E11_587582.CEL	Sarcoma	Sarcoma
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_H07_436444.CEL	Sarcoma	Sarcoma
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_H08_436438.CEL	Sarcoma	Sarcoma
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_H04_436446.CEL	Sarcoma	Sarcoma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_B08_474720.CEL	Sarcoma	Sarcoma
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_B11_523524.CEL	Sarcoma	Sarcoma
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_C01_454612.CEL	Sarcoma	Sarcoma
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_D03_474638.CEL	Sarcoma	Sarcoma
